director_name,movie_title,actor_1_name,actor_2_name,actor_3_name,genres
James Cameron,avatar,CCH Pounder,Joel David Moore,Wes Studi,Action Adventure Fantasy Sci-Fi
Gore Verbinski,pirates of the caribbean: at world's end,Johnny Depp,Orlando Bloom,Jack Davenport,Action Adventure Fantasy
Sam Mendes,spectre,Christoph Waltz,Rory Kinnear,Stephanie Sigman,Action Adventure Thriller
Christopher Nolan,the dark knight rises,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,Action Thriller
Doug Walker,star wars: episode vii - the force awakens            ,Doug Walker,Rob Walker,unknown,Documentary
Andrew Stanton,john carter,Daryl Sabara,Samantha Morton,Polly Walker,Action Adventure Sci-Fi
Sam Raimi,spider-man 3,J.K. Simmons,James Franco,Kirsten Dunst,Action Adventure Romance
Nathan Greno,tangled,Brad Garrett,Donna Murphy,M.C. Gainey,Adventure Animation Comedy Family Fantasy Musical Romance
Joss Whedon,avengers: age of ultron,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Action Adventure Sci-Fi
David Yates,harry potter and the half-blood prince,Alan Rickman,Daniel Radcliffe,Rupert Grint,Adventure Family Fantasy Mystery
Zack Snyder,batman v superman: dawn of justice,Henry Cavill,Lauren Cohan,Alan D. Purwin,Action Adventure Sci-Fi
Bryan Singer,superman returns,Kevin Spacey,Marlon Brando,Frank Langella,Action Adventure Sci-Fi
Marc Forster,quantum of solace,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,Action Adventure
Gore Verbinski,pirates of the caribbean: dead man's chest,Johnny Depp,Orlando Bloom,Jack Davenport,Action Adventure Fantasy
Gore Verbinski,the lone ranger,Johnny Depp,Ruth Wilson,Tom Wilkinson,Action Adventure Western
Zack Snyder,man of steel,Henry Cavill,Christopher Meloni,Harry Lennix,Action Adventure Fantasy Sci-Fi
Andrew Adamson,the chronicles of narnia: prince caspian,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,Action Adventure Family Fantasy
Joss Whedon,the avengers,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Action Adventure Sci-Fi
Rob Marshall,pirates of the caribbean: on stranger tides,Johnny Depp,Sam Claflin,Stephen Graham,Action Adventure Fantasy
